Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
Age of Empires,1997,Strategy,191181.81,156839.89,261,99
Age of Empires II,1999,Strategy,2193911.38,719782.87,1467,1085
Age of Empires III,2005,Strategy,93299.65,41800,137,117
Age of Empires IV,2021,Strategy,5773,0,29,11
Age of Empires Online,2011,Strategy,5283.56,775,22,16
Age of Mythology,2002,Strategy,99941,52000,129,119
Among Us,2018,Strategy,86000,0,14,8
Auto Chess,2019,Strategy,1142120.28,1035522.28,120,29
Brawl Stars,2018,Strategy,1557950,336250,212,30
Chess.com,2007,Strategy,1826564.33,0,771,272
chess24,2014,Strategy,2705625.43,0,80,19
Clash of Clans,2012,Strategy,2720852.87,1127101.87,191,40
Clash Royale,2016,Strategy,3363348.27,3149638.98,290,51
Command & Conquer 3,2007,Strategy,53086.67,53086.67,9,8
Company of Heroes 2,2013,Strategy,8561.22,7956.22,11,6
ComPet,2016,Strategy,2000,0,50,1
Dead By Daylight,2016,Strategy,60000,0,35,9
Dota Underlords,2019,Strategy,26024.18,0,62,36
Endgods,2015,Strategy,0,0,0,0
Farming Simulator 19,2018,Strategy,386311.88,119445.81,104,19
Grey Goo,2015,Strategy,36400,30400,18,5
Heroes of Might and Magic III,1999,Strategy,0,0,0,0
Identity V,2018,Strategy,31911.1,31911.1,6,1
Internet Chess Club,1995,Strategy,10000,0,6,1
Iron Harvest,2020,Strategy,0,0,0,0
Legion TD 2,2021,Strategy,0,0,0,0
Lichess,2010,Strategy,1206261.93,0,333,130
Men of War: Assault Squad 2,2014,Strategy,0,0,0,0
Multigaming,2000,Strategy,444857.33,444857.33,30,7
Playchess.com,2002,Strategy,32866.58,0,116,9
Pok<U+00E9>mon VGC,2017,Strategy,211602,211500,173,25
Prophecy,2020,Strategy,13000,0,27,4
Rise of Nations: Rise of Legends,2006,Strategy,69600,69600,8,1
Sea of Thieves,2016,Strategy,1.00E+05,0,67,4
Star Wars: Squadrons,2020,Strategy,800,0,4,1
StarCraft II,2010,Strategy,35911899.78,29342874.73,2107,6220
StarCraft: Brood War,1998,Strategy,8502810.61,8075539.32,683,682
Super Mario Party,2018,Strategy,220,220,4,1
Supreme Commander,2007,Strategy,4901.26,4901.26,0,1
Supreme Commander: Forged Alliance,2007,Strategy,1290.01,1290.01,0,1
Teamfight Tactics,2019,Strategy,1069313.65,235250,181,16
TEPPEN,2019,Strategy,456721.47,456721.47,12,1
